[23-May-2026 05:47:38 UTC] PDOException: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`toriventy_db`.`tbl_products`, CONSTRAINT `fk_product_supplier` FOREIGN KEY (`fld_supplier_id`) REFERENCES `tbl_suppliers` (`fld_supplier_id`) ON DELETE RESTRICT ON UPDATE CASCADE)
[23-May-2026 05:48:30 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:48:30 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:49:21 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:49:21 UTC] Method: GET, URI: /api/reports/low-stock, Params: api/reports/low-stock
[23-May-2026 05:49:21 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:49:23 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:49:23 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:49:24 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:49:25 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:49:25 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:51:26 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:51:26 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:51:54 UTC] Method: GET, URI: /api/reports/low-stock, Params: api/reports/low-stock
[23-May-2026 05:51:55 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:51:55 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:52:05 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:52:45 UTC] Method: POST, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:53:16 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:53:37 UTC] Method: GET, URI: /api/reports/low-stock, Params: api/reports/low-stock
[23-May-2026 05:53:37 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:53:37 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:53:39 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:54:08 UTC] Method: POST, URI: /api/suppliers, Params: api/suppliers
[23-May-2026 05:54:08 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:54:11 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:54:11 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:54:59 UTC] Method: POST, URI: /api/products, Params: api/products
[23-May-2026 05:54:59 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:56:10 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:56:10 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:56:37 UTC] Method: GET, URI: /api/products, Params: api/products
